Name,Description,Script
Slushie,Inflicts [shiver]3 slush,inflict(~Slush~[;] 3); sfx(~_ice~);
Regenative Ablity,Gain [grace]1 regeneration,inflictself(~regeneration~[;] 1); sfx(~_cure~);
Hibernate,+[heal]2 health[;] +[shield]2 shield,attackself(-2); inflictself(SHIELD[;] 2); sfx(~_shield~); sfx(~_heal~);
Candy Spear,Do [sword]2 dmg[;] +[heal]2 health,attack(2); sfxdamage(target[;] 2); attackself(-2); sfx(~_heal~);
AGAIN!,Take another turn,inflictself(EXTRATURN); sfx(~_thinghappens~);
Card Redraw,Reroll all random cards,sfx(~_thinghappens~); runscript(~christmasspecial/warrior_dotide~[;][self[;]target[;]true]);
Blue Flame,Do [ice]3 and [fire]3 damage,attack(3[;] ICE); attack(3[;] FIRE); sfx(~_fire~); sfx(~_ice~);
Snow Catapult,Do [ice]4 damage,attack(4[;] ICE); sfxdamage(target[;] 4); sfx(~_ice~);
Whelm (2 Uses),Do [sword]2 dmg[;] inflict [bleed],inflict(~Bleed~); sfx(~_poison~); attack(2); sfxdamage(target[;] 2); Gadget.changegadget(self[;] ~Whelm 2 Uses~[;] ~Whelm 1 Use~); Gadget.reactivate(self[;] ~Whelm 1 Use~);
Whelm (1 Use),Do [sword]2 dmg[;] inflict [bleed],inflict(~Bleed~); sfx(~_poison~); attack(2); sfxdamage(target[;] 2); Gadget.changegadget(self[;] ~Whelm 1 Use~[;] ~Whelm 0 Uses~); Gadget.reactivate(self[;] ~Whelm 0 Uses~);
Whelm (0 Uses),Get [quote]Whelm (2 Uses)[quote] next turn,jinx(~Gadget~[;]~Gain whelm 2 uses~[;]~Gain Whelm 2 uses~[;]~inflict(\~Whelm\~[;]%VAR%); sfx(\~_thinghappens\~);~[;]self[;]self[;]1[;]1); sfx(~_thinghappens~);
Boom!,[fire]2 dmg to both,attack(2[;]FIRE); sfx(~_fire~); attackself(2[;]FIRE);
Moderatewhelm,[sword]1 dmg[;] +1 each use,attack(1 + getstatusself(~moderatewhelm~)); inflictself(~moderatewhelm~); sfxdamage(target[;]1+getstatusself(~moderatewhelm~));
Coin Clippers,[]+[shield]1 per dice you have,var s = 0; for(d in self.dicepool){ if(d.available()){ s+=1; }; }; if(s > 0){ sfx(~_shield~); inflictself(SHIELD[;]s); };
Safeguard,Shield a random amount,var r = rand([2[;]3[;]3[;]3[;]3[;]4[;]4[;]5]); inflictself(SHIELD[;]r); sfx(~_shield~);
Rollout,Reroll a random amount,var dicelist = []; for(mydice in self.dicepool) { if(mydice.available()) { dicelist.push(mydice); } } var numlist = []; if(dicelist.length > 0) { sfx(~diceroll~); dicelist = shuffle(dicelist); numlist = [0]; for(i in 0...dicelist.length) { numlist.push(numlist[numlist.length - 1] + 1); } numlist.shift(); var r = rand(numlist); for(i in 0...r) { dicelist[i].animatereroll(rand([1[;]2[;]3[;]4[;]5[;]6])[;] self.screenposition()); } }
Electrify,Shock a random amount,var r = rand([1[;]1[;]1[;]1[;]1[;]1[;]2[;]2[;]2[;]2[;]2[;]2[;]3[;]3[;]3[;]3[;]4[;]5]); inflict(SHOCK[;] r); sfx(~_shock~);
Light Switch,Copy a dice for next turn,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available()){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); inflictself(~stash~+dicelist[0].basevalue); dicelist[0].animate(~flashshake~); inflictself(~ncr_lightswitch~+dicelist[0].basevalue); sfx(~magic~); }
Proximity Mine,Reroll dice nearest to this,if(!self.isplayer) { self.textparticle(~No effect!~); } else { var proximy = self.getskillcard().y + (self.getskillcard().height / 2) - 132; var proximx = self.getskillcard().x + (self.getskillcard().width / 2) - 110; var dicelist = []; for(mydice in self.dicepool) { if(mydice.available()) { dicelist.push(mydice); } } if(dicelist.length != 0) { var proxlist = []; for(mydice in dicelist) { proxlist.push(((mydice.x - proximx) * (mydice.x - proximx)) + ((mydice.y - proximy) * (mydice.y - proximy))); if(proxlist[proxlist.length - 1] < 0) { proxlist[proxlist.length - 1] = proxlist[proxlist.length - 1] * -1; } } var min = [0[;]999999999999999999999]; for(prox in proxlist) { trace(prox); trace(min[1]); trace(~---~); if(prox < min[1]) { min[1] = prox; min[0] = proxlist.indexOf(prox); } } sfx(~diceroll~); dicelist[min[0]].animatereroll(rand([1[;]2[;]3[;]4[;]5[;]6])[;] self.screenposition()); } else { self.textparticle(~No dice!~); } }
Demise,Take 1 damage,pierceattackself(1); sfxdamage(target[;] 1);
Cruciroll,Roll 2 burning dice,inflictself(FIRE[;]2); givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])]);
Redemption,Get rid of [curse]Curse (once),self.setvar(~sin~[;]0); removestatusself(CURSE[;]getstatusself(CURSE)); sfx(~_survive~); Gadget.changegadget(self[;]~Redemption~[;]~Broken Gadget[][]~);
Bearish Spell,Turn enemy into a bear,inflict(~instanttransform~); sfx(~_thinghappens~); Gadget.changegadget(self[;] ~Bearish Spell~[;] ~Broken Gadget[][]~);
Ice Cream Truck,Freeze everyone,var highestvalue = 0; if (self.dicepool.length > 0) { for (mydice in self.dicepool) { if (mydice.available() && mydice.basevalue > highestvalue && !mydice.burn) { highestvalue = mydice.basevalue; } } } if(highestvalue > 0) { for (mydice in self.dicepool) { if (mydice.basevalue == highestvalue) { mydice.animate(ICE); break; } } } inflict(ICE); self.symbolparticle(ICE); sfx(~_ice~[;]~~[;]0.2);
Frying Pan,Burn everyone,if (self.dicepool.length > 0) { for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn) { mydice.animate(FIRE); break; } } } inflict(FIRE); sfx(~_fire~[;]~~[;]0.2); self.symbolparticle(FIRE);
Perfect Cut,[95%]-1 to all dice[;] roll a 1 per each,var c = 0; var extradice = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue > 1){ extradice.push(1); mydice.animatereroll((mydice.basevalue - 1)[;] self.screenposition()[;] c * 0.05); c++; } } givedice(extradice);
Snow Cover,Roll a few ones,var diceamt = rand([1| 2| 2| 3| 3| 3| 4| 4| 4| 5| 5| 6]); var dicearray = [for(i in 0...diceamt) 1]; givedice(dicearray);
Stress,Gain [heal][]2 max hp (once),self.maxhp += 2; attackself(-2); Gadget.changegadget(self[;] ~Stress~[;] ~Broken Gadget[][]~);
Infinity Fantasy,Get a temporary gadget,Gadget.givegadget(self[;]rand([~Pea Gun~[;]~Stardust~[;]~Power Up~[;]~Throw Dice~[;]~Stress~[;]~Blood Sip~[;]~Snake Eyes~[;]~Magic Dice~[;]~Bubble Gun~[;]~Lucky Shot~[;]~Dramatic Pause~[;]~Teleport~[;]~Random Roll~[;]~Cruciroll~[;]~Ice Cream Truck~[;]~Zap~[;]~Frying Pan~[;]~Mumble~[;]~Needle~[;]~Hook~[;]~Harvest~[;]~Magic Spanner~[;]~Replicate~[;]~Flash Freeze~])[;]true);
Randomizer,Get a temporary gadget (once),var newgadget = rand([~Pea Gun~[;]~Stardust~[;]~Power Up~[;]~Throw Dice~[;]~Stress~[;]~Blood Sip~[;]~Snake Eyes~[;]~Magic Dice~[;]~Bubble Gun~[;]~Lucky Shot~[;]~Dramatic Pause~[;]~Teleport~[;]~Random Roll~[;]~Cruciroll~[;]~Ice Cream Truck~[;]~Zap~[;]~Frying Pan~[;]~Mumble~[;]~Needle~[;]~Hook~[;]~Harvest~[;]~Magic Spanner~[;]~Replicate~[;]~Flash Freeze~]); Gadget.changegadget(self[;] ~Randomizer~[;] newgadget);
Globe,Roll 4 extra dice,givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])][;]~~[;]true); sfx(~useitem~);
Random Hit,Do 1-6 dmg of a random type,var type = rand([FIRE[;]ICE[;]WEAKEN[;]SHOCK]); var dam = rand([1[;]2[;]3[;]4[;]5[;]6]); attack(dam[;] type); sfxdamage(target[;] dam); sfx(~_~ + type);
Telescope,+1 dice this fight; get a new dice,givedice(); self.extradice++; sfx(~magic_gaindice~);
thiefyboi,AAAAAAAAAAAAAAAAAAAAAAAAA,var a = ~Thieving Tools@~ + rand([~roll~[;]~vise~[;]~dupli~[;]~spanner~[;]~screw~[;]~bump~[;]~nudge~[;]~pick~]); self.replaceskillcard(a); self.getskillcard().animate(~error~);
Shuffle,Gain a random mod,var effect = rand([~grabbag~[;]~morefluff~[;]~rs~]); removestatusself(~grabbag~); removestatusself(~morefluff~); removestatusself(~rs~); inflictself(effect);
grabbag_internal,(should not appear),for(eq in self.equipment) { if(eq !=self.getskillcard()){ roboterror(self[;][eq]); } } var item1 = rand(getequipmentlist(null[;][~gb~][;][])); var item2 = rand(getequipmentlist(null[;][~gb~][;][])); var item3 = rand(getequipmentlist(null[;][~gb~][;][])); giveequipment([item1[;]item2[;]item3][;]true[;]false);
morefluff_internal,(should not appear),for(eq in self.equipment) { if(eq !=self.getskillcard()){ roboterror(self[;][eq]); } } var item1 = rand(getequipmentlist(null[;][~morefluff~][;][])); var item2 = rand(getequipmentlist(null[;][~morefluff~][;][])); var item3 = rand(getequipmentlist(null[;][~morefluff~][;][])); giveequipment([item1[;]item2[;]item3][;]true[;]false);
rs_internal,(should not appear),for(eq in self.equipment) { if(eq !=self.getskillcard()){ roboterror(self[;][eq]); } } var item1 = rand(getequipmentlist(null[;][~rs~][;][])); var item2 = rand(getequipmentlist(null[;][~rs~][;][])); var item3 = rand(getequipmentlist(null[;][~rs~][;][])); giveequipment([item1[;]item2[;]item3][;]true[;]false);
Delude,Inflict [vanish]1 fade,inflict(~fade~); sfx(~_vanish~);
Emulator,Mimic a card's gadget,if(!self.isplayer) { self.textparticle(~No effect!~); } else { var exceptionlist = [~Emulator~[;]~Boltzmann Brain~[;]~N/A~]; var gadgpool = []; for(eq in self.equipment) { if(eq.isready(true) && !eq.hastag(~skillcard~) && exceptionlist.indexOf(eq.gadget) == -1) { gadgpool.push(eq); } } shuffle(gadgpool); gadgpool[0].animate(~flashandshake~); var gadgettomimic = gadgpool[0].gadget; var emulategadget = new elements.Skill(gadgettomimic); if(emulategadget.name == ~Mirror Smash~) { pierceattackself(3); sfx(~_heal~); givedice(); self.setvar(~smashuses~[;]self.getvar(~smashuses~) - 1); if(self.getvar(~smashuses~) > 0) { if(!self.usecpuinsteadofdice) { Gadget.reactivate(self[;]~Emulator~); } else { self.roll_jackpotbonus++; self.getskillcard().animate(~flashandshake~); var tw = new motion.actuators.SimpleActuator(null[;]0.01[;]null); var s = new elements.Skill(~Against all odds_old~); s.script = ~  for(i in 0...self.getskillcard().skills.length) {   if(self.getskillcard().skills[i].name == \~Emulator\~) {    self.getskillcard().skillsavailable[i] = true;   }  } ~; tw.onComplete(s.execute[;][self[;]target]); tw.move(); } } } else if(emulategadget.name == ~Gadget Roll~) { var availdice = []; for (mydice in self.dicepool){ if (mydice.available()){ availdice.push(mydice); } } if(availdice.length > 0) { trace(~hi~); shuffle(availdice); availdice[0].animatereroll(rand([1[;]2[;]3[;]4[;]5[;]6])[;] self.screenposition()); sfx(~diceroll~); } self.setvar(~grolluses~[;]self.getvar(~grolluses~) - 1); if(self.getvar(~grolluses~) > 0) { if(!self.usecpuinsteadofdice) { Gadget.reactivate(self[;]~Emulator~); } else { self.roll_jackpotbonus++; self.getskillcard().animate(~flashandshake~); var tw = new motion.actuators.SimpleActuator(null[;]0.01[;]null); var s = new elements.Skill(~Against all odds_old~); s.script = ~  for(i in 0...self.getskillcard().skills.length) {   if(self.getskillcard().skills[i].name == \~Emulator\~) {    self.getskillcard().skillsavailable[i] = true;   }  } ~; tw.onComplete(s.execute[;][self[;]target]); tw.move(); } } } else { var j = emulategadget.script.split(~Gadget.changegadget(self[;] \~~ + emulategadget.name + ~\~~); if(j.length > 1) { if(!self.usecpuinsteadofdice) { emulategadget.script = j.join(~Gadget.changegadget(self[;] \~Emulator\~~); } else { emulategadget.script = j.join(~self.innate.push(\~Emulator\~); self.innate.push(~); } } emulategadget.execute(self[;]target); } self.getskillcard().animation = []; self.getskillcard().animate(~particleblah~); self.getskillcard().animation[0].addcommand(~textparticle~[;] emulategadget.name + ~!~[;] 16777215); }
Rejuvenate,Heal a random amount,var r = rand([1[;]2[;]2[;]3[;]3[;]3[;]4[;]4[;]5]); attackself(-r); sfx(~_heal~);
Regenerative Ablity,Gain [grace]1 regen,inflictself(~Regen~[;] 1); sfx(~_cure~);
Oh Shit!,Take [sword]1 damage,attackself(1); sfxdamage(self[;]1);
Throwing Knife,Deal [sword]9 damage (once),attack(9); sfxdamage(target[;]9); Gadget.changegadget(self[;] ~Throwing Knife~[;] ~Broken Gadget[][]~);
Magic Lantern,[]+1 dice next turn,inflictself(~stash~+rand([1[;]2[;]3[;]4[;]5[;]6])); inflictself(~lantern~); sfx(~magic_gaindice~);
Toxic,Inflict [poison]5 poison (once),inflict(POISON[;]5); sfx(~_poison~); Gadget.changegadget(self[;] ~Toxic~[;] ~Broken Gadget[][]~);
Stinger,Inflict [poison]1 poison,inflict(POISON); sfx(~_poison~);
Cheat,Set all dice to 6[;] roll a 6,var c = 0; for (mydice in self.dicepool){ if (mydice.available()){ mydice.animatereroll(6[;] self.screenposition()[;] c * 0.05); c++; } } givedice(6); sfx(~_ladysnap~);
Catalog,Replace each item with the next item alphabetically,runscript(~christmasspecial/thesaurus~[;][self]);
Ignition,3 to all counts,boostcountdowns(3);
Disorient,Swap enemy's next target,inflict(~reversenexttarget~); sfx(~_cure~);
Limit Charge,Charge limit break by 2,self.limitvalue += 2; if(self.limitvalue > self.limitmax){ self.limitvalue = self.limitmax; } sfx(~levelup~);
Flash,Blind [blind]1 dice,inflict(BLIND); sfx(~_blind~);
Zapthwack,[shock]1 item + [weaken]1 item,inflict(SHOCK); inflict(WEAKEN); sfx(~_weaken~); sfx(~_shock~);
Unlimited Limit,Gain [confuse]5 limit break charge,self.limitvalue+=5; if(self.limitvalue > self.limitmax){ self.limitvalue = self.limitmax; }; sfx(~_thinghappens~);
Whacksies,Deal [sword]10 dmg in [jinx]2 turns,jinx(~Whacksies~[;]~take [sword]10 damage~[;]~take [sword]10 damage~[;]~attack(10); sfxdamage(null[;]10);~[;]target[;]self[;]2[;]2); sfx(~_thinghappens~);
Padlock,Lock all dice (once),inflict(LOCK[;]ALL); sfx(~_lock~); Gadget.changegadget(self[;] ~Padlock~[;] ~Broken Gadget[][]~);
Revitalize,Heal [heal]2[;] add [shield]2 shield,inflictself(SHIELD[;]2); sfx(~_shield~); attackself(-2); sfx(~_heal~);
Confiscate,Lock [lock]1 dice,inflict(LOCK); sfx(~_lock~);
